placed | OrderID: 1
placed | OrderID: 2
placed | OrderID: 3
placed | OrderID: 4
placed | OrderID: 5
refunded | OrderID: 1
refunded | OrderID: 2
placed | OrderID: 6
refunded | OrderID: 4
shipped | OrderID: 5
placed | OrderID: 7
shipped | OrderID: 3
placed | OrderID: 8
shipped | OrderID: 6
placed | OrderID: 9
shipped | OrderID: 7
placed | OrderID: 10
shipped | OrderID: 8
placed | OrderID: 11
shipped | OrderID: 9
shipped | OrderID: 10
placed | OrderID: 12
shipped | OrderID: 11
placed | OrderID: 13
placed | OrderID: 14
shipped | OrderID: 12
shipped | OrderID: 14
placed | OrderID: 15
placed | OrderID: 16
shipped | OrderID: 13
placed | OrderID: 17
shipped | OrderID: 15
placed | OrderID: 18
shipped | OrderID: 16
placed | OrderID: 19
refunded | OrderID: 18
shipped | OrderID: 17
placed | OrderID: 20
placed | OrderID: 21
shipped | OrderID: 19
placed | OrderID: 22
placed | OrderID: 23
shipped | OrderID: 20
shipped | OrderID: 21
shipped | OrderID: 22
placed | OrderID: 24
shipped | OrderID: 23
placed | OrderID: 25
placed | OrderID: 26
shipped | OrderID: 24
placed | OrderID: 27
shipped | OrderID: 25
placed | OrderID: 28
shipped | OrderID: 26
shipped | OrderID: 27
placed | OrderID: 29
placed | OrderID: 30
placed | OrderID: 31
shipped | OrderID: 28
shipped | OrderID: 29
placed | OrderID: 32
shipped | OrderID: 30
placed | OrderID: 33
shipped | OrderID: 31
refunded | OrderID: 32
placed | OrderID: 34
placed | OrderID: 35
shipped | OrderID: 33
shipped | OrderID: 34
placed | OrderID: 36
placed | OrderID: 37
shipped | OrderID: 35
placed | OrderID: 38
shipped | OrderID: 36
placed | OrderID: 39
placed | OrderID: 40
shipped | OrderID: 37
shipped | OrderID: 38
shipped | OrderID: 39
placed | OrderID: 41
placed | OrderID: 42
placed | OrderID: 43
shipped | OrderID: 40
shipped | OrderID: 41
placed | OrderID: 44
shipped | OrderID: 42
shipped | OrderID: 43
placed | OrderID: 45
refunded | OrderID: 44
placed | OrderID: 46
placed | OrderID: 47
shipped | OrderID: 45
placed | OrderID: 48
shipped | OrderID: 46
placed | OrderID: 49
shipped | OrderID: 47
placed | OrderID: 50
placed | OrderID: 51
shipped | OrderID: 48
placed | OrderID: 52
shipped | OrderID: 49
shipped | OrderID: 50
placed | OrderID: 53
shipped | OrderID: 51
placed | OrderID: 54
shipped | OrderID: 52
placed | OrderID: 55
placed | OrderID: 56
shipped | OrderID: 53
shipped | OrderID: 54
placed | OrderID: 57
shipped | OrderID: 55
placed | OrderID: 58
shipped | OrderID: 56
placed | OrderID: 59
